;1.225;0.95;0.975;1;1.025;1.05;1.075;1.1;1.125;1.15;1.175;1.2;1.25;1.275
3.00;81;51;54;57;60;62;65;68;70;73;76;79;84;87
3.50;172;123;127;132;136;141;145;150;154;159;163;168;177;181
4.00;285;210;217;224;231;238;244;251;258;265;272;278;292;299
4.50;424;318;328;337;347;357;366;376;386;395;405;415;434;444
5.00;597;452;465;478;492;505;518;531;544;557;571;584;610;623
5.50;809;616;633;651;669;686;704;721;739;757;774;792;827;844
6.00;1062;813;835;858;881;904;926;949;972;995;1017;1040;1085;1108
6.50;1361;1045;1074;1103;1131;1160;1189;1218;1247;1275;1304;1332;1389;1418
7.00;1709;1317;1353;1389;1425;1461;1496;1532;1568;1603;1639;1674;1744;1779
7.50;2101;1628;1671;1715;1758;1802;1845;1888;1931;1974;2016;2058;2143;2185
8.00;2545;1982;2034;2086;2137;2189;2240;2292;2343;2394;2444;2494;2594;2644
8.50;3014;2375;2435;2496;2556;2616;2674;2732;2790;2848;2904;2959;3067;3120
9.00;3458;2791;2856;2921;2986;3052;3112;3172;3232;3292;3348;3403;3510;3562
9.50;3807;3180;3246;3312;3377;3443;3499;3556;3613;3669;3715;3761;3845;3884
10.00;4038;3543;3602;3662;3722;3781;3824;3866;3909;3951;3980;4009;4059;4079
10.50;4143;3842;3884;3926;3969;4012;4035;4059;4083;4107;4119;4131;4150;4158
11.00;4191;4055;4078;4100;4122;4145;4154;4162;4171;4180;4184;4187;4193;4195
11.50;4199;4152;4160;4168;4176;4185;4188;4190;4193;4196;4197;4198;4199;4200
12.00;4200;4185;4188;4191;4194;4198;4198;4199;4199;4200;4200;4200;4200;4200
12.50;4200;4197;4197;4198;4199;4200;4200;4200;4200;4200;4200;4200;4200;4200
13.00;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
13.50;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
14.00;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
14.50;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
15.00;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
15.50;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
16.00;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
16.50;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
17.00;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
17.50;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
18.00;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
18.50;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
19.00;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
19.50;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
20.00;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200;4200
20.50;4186;4186;4186;4186;4186;4186;4186;4186;4186;4186;4186;4186;4186;4186
21.00;3870;3870;3870;3870;3870;3870;3870;3870;3870;3870;3870;3870;3870;3870
21.50;3373;3373;3373;3373;3373;3373;3373;3373;3373;3373;3373;3373;3373;3373
22.00;2745;2745;2745;2745;2745;2745;2745;2745;2745;2745;2745;2745;2745;2744
22.50;2154;2154;2154;2154;2154;2154;2154;2154;2154;2154;2154;2154;2154;2154
23.00;1805;1805;1805;1805;1805;1805;1805;1805;1805;1805;1805;1805;1805;1805
23.50;1526;1526;1526;1526;1526;1526;1526;1526;1526;1526;1526;1526;1526;1526
24.00;1283;1283;1283;1283;1283;1283;1283;1283;1283;1283;1283;1283;1283;1283
24.50;1116;1116;1116;1116;1116;1116;1116;1116;1116;1116;1116;1116;1116;1116
